# BAM files: ~/data/SOC/SOC-2745-226696.bam, ~/data/SOC/SOC-2774-227362.bam, ~/data/SOC/SOC-5936-294158.bam, ~/data/SOC/SOC-6075-291944.bam, ~/data/SOC/SOC-6752-315581.bam, ~/data/SOC/SOC-7165-343100.bam, ~/data/SOC/SOC-7637-361542.bam, ~/data/SOC/SOC-7777-371281.bam, ~/data/SOC/SOC-8272-401299.bam, ~/data/SOC/SOC-11199-480891.bam, ~/data/SOC/SOC-849-206653.bam, ~/data/SOC/SOC-1255-501160.bam, ~/data/SOC/SOC-2427-221981.bam, ~/data/SOC/SOC-2674-224814.bam, ~/data/SOC/SOC-2742-225553.bam, ~/data/SOC/SOC-4808-260525.bam, ~/data/SOC/SOC-5439-266610.bam, ~/data/SOC/SOC-5606-277617.bam, ~/data/SOC/SOC-5653-277626.bam, ~/data/SOC/SOC-5691-278006.bam
# phenotypes: chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive
# total alignments: 14612031, 106336729, 18330606, 112217237, 14635266, 15379488, 12814697, 13461028, 17491779, 16221093, 14494734, 13801318, 14949521, 18045259, 17407390, 15334240, 14903259, 13804476, 18588809, 18601214
# annotations: /home/cwarth/R/x86_64-unknown-linux-gnu-library/3.0/qarp/python/hg19-refSeq-union.gtf
# gene count: 16897
# interactive: FALSE
# commandline: --genefile /home/cwarth/data/SOC/genelist.txt
# date: 2013-11-15 09:48:38
gene	raw	rpm	area
GAPDH	0.159	0.46	0.008
MALAT1	0.796	0.769	0.359
EEF1A1	0.254	0.577	0.063
RPLP0	0.133	0.789	0.075
RPL41	0.146	0.645	0.03
EEF1G	0.043	0.301	0.231
CD74	0.653	0.367	0.099
AHNAK	0.325	0.848	0.447
EEF2:SNORD37	0.024	0.225	0.083
FTH1	0.774	0.041	0.114
C3	0.331	0.464	0.244
COL3A1:MIR1245:MIR3606	0.234	0.358	0.013
RPS2:SNORA10:SNORA64	0.013	0.093	0.069
RPS3:SNORD15A:SNORD15B	0.116	0.597	0.026
B2M	0.026	0.017	0.228
HLA-B	0.138	0.013	0.673
RPLP1	0.187	0.881	0.214
HDLBP	0.214	0.756	0.185
ACTG1	0.262	0.335	0.017
PABPC1	0.748	0.028	0.031
RPL8	0.608	0.21	0.067
ACTB	0.05	0.277	0.039
RNU86:RPL3:SNORD43:SNORD83A:SNORD83B	0.225	0.962	0.298
PKM2	0.33	0.493	0.115
RPL18A:RPL18AP3:SNORA68	0.024	0.196	0.208
RPS3A:SNORD73A	0.176	0.915	0.248
RPL4:SNORD16:SNORD18A:SNORD18B:SNORD18C	0.284	0.752	0.129
IFI6	0.711	0.552	0.321
OAS3	0.87	0.921	0.01
HLA-C	0.155	0.028	0.959
FLNA	0.352	0.711	0.122
RPS27	0.068	0.395	0.093
COL1A1	0.094	0.243	0.072
IFITM3	0.058	0.38	0.06
HSP90AA1	0.681	0.058	0.14
LGALS3BP	0.535	0.33	0.148
TPI1	0.335	0.585	0.087
BCAM	0.238	0.687	0.051
LAMA5	0.625	0.643	0.255
ATP5B:SNORD59A:SNORD59B	0.435	0.143	0.032
