symbol	transPos	exonNumber	chrm	genomePos	SOC-2745-226696	SOC-2774-227362	SOC-5936-294158	SOC-6075-291944	SOC-6752-315581	SOC-7165-343100	SOC-7637-361542	SOC-7777-371281	SOC-8272-401299	SOC-11199-480891	SOC-849-206653	SOC-1255-501160	SOC-2427-221981	SOC-2674-224814	SOC-2742-225553	SOC-4808-260525	SOC-5439-266610	SOC-5606-277617	SOC-5653-277626	SOC-5691-278006
ACTB	78	1	chr7	5570155	857	2023	1162	1826	613	2065	579	899	628	540	440	1043	184	744	1036	145	890	610	923	553
ACTB	77	1	chr7	5570156	841	2054	1125	1904	602	2023	561	884	615	529	438	1035	176	729	1016	141	862	596	902	543
ACTB	76	1	chr7	5570157	836	2052	1114	1903	596	2009	549	875	607	524	434	1032	175	723	1012	141	851	592	898	542
ACTB	75	1	chr7	5570158	835	2015	1102	1872	590	1997	546	872	603	519	433	1029	172	718	1008	139	839	583	890	535
ACTB	74	1	chr7	5570159	826	2012	1084	1864	579	1986	538	871	594	508	427	1020	170	698	989	138	817	577	866	521
ACTB	73	1	chr7	5570160	824	2200	1072	2001	568	1980	526	863	586	501	423	1012	163	687	977	135	801	570	850	508
ACTB	72	1	chr7	5570161	815	2226	1063	1980	561	1979	518	851	573	494	420	1000	159	678	968	131	793	560	840	498
ACTB	71	1	chr7	5570162	799	2309	1043	2076	549	1974	512	840	560	483	416	982	154	662	945	128	775	554	819	489
ACTB	70	1	chr7	5570163	779	2444	1020	2202	534	1964	499	823	541	472	410	955	150	642	910	123	739	533	794	481
ACTB	69	1	chr7	5570164	761	2431	1000	2229	523	1945	488	808	531	459	403	937	147	632	883	121	714	518	782	469
ACTB	68	1	chr7	5570165	755	2339	984	2159	509	1935	486	804	519	450	402	931	141	624	863	117	705	500	772	464
ACTB	67	1	chr7	5570166	741	2218	952	2043	491	1888	473	782	506	437	396	913	138	610	835	113	687	488	748	452
ACTB	66	1	chr7	5570167	741	2396	951	2203	491	1884	471	782	506	435	395	912	138	609	833	113	686	487	745	452
ACTB	65	1	chr7	5570168	740	2450	941	2240	489	1868	471	780	505	429	395	906	138	607	831	112	680	484	738	452
ACTB	64	1	chr7	5570169	737	2463	929	2242	487	1854	465	772	503	427	394	901	137	602	823	111	669	480	732	452
ACTB	63	1	chr7	5570170	731	2789	922	2539	483	1844	460	767	497	421	393	892	137	597	816	109	659	475	720	447
ACTB	62	1	chr7	5570171	727	2803	915	2545	477	1841	456	761	494	418	393	884	134	590	800	109	652	469	711	440
ACTB	61	1	chr7	5570172	725	2850	910	2530	474	1837	456	759	491	415	392	884	133	583	794	108	651	465	706	436
ACTB	60	1	chr7	5570173	714	3303	884	2979	456	1818	439	750	472	403	380	861	128	566	763	106	637	443	674	419
ACTB	59	1	chr7	5570174	703	3620	869	3250	447	1789	435	742	458	396	373	846	125	553	753	102	630	439	662	417
ACTB	58	1	chr7	5570175	701	3718	850	3326	441	1784	430	738	454	387	367	838	124	536	743	99	618	432	650	409
ACTB	57	1	chr7	5570176	699	3702	837	3305	428	1764	427	732	451	383	367	835	122	533	734	96	614	429	644	402
ACTB	56	1	chr7	5570177	697	3715	834	3323	426	1762	426	732	451	380	366	833	121	529	729	96	611	427	641	402
ACTB	55	1	chr7	5570178	688	3661	822	3249	417	1736	419	730	447	372	365	823	117	523	716	91	609	418	633	399
ACTB	54	1	chr7	5570179	684	3632	820	3216	417	1732	419	728	445	371	363	822	116	520	714	91	609	417	631	399
ACTB	53	1	chr7	5570180	679	3600	817	3198	412	1718	411	712	438	363	358	812	116	516	702	89	605	412	625	396
ACTB	52	1	chr7	5570181	670	3516	809	3116	407	1708	406	708	431	362	355	803	112	506	689	88	598	403	617	392
ACTB	51	1	chr7	5570182	663	3485	803	3099	397	1701	401	706	422	355	353	791	110	500	679	87	589	398	608	388
ACTB	50	1	chr7	5570183	656	3485	798	3098	394	1691	400	703	417	353	352	783	108	496	672	87	589	397	606	385
ACTB	49	1	chr7	5570184	636	3466	760	3076	374	1658	391	679	395	335	344	745	105	474	644	82	569	380	582	371
ACTB	48	1	chr7	5570185	633	3464	752	3073	369	1644	384	672	389	332	341	739	105	468	636	79	562	377	574	364
ACTB	47	1	chr7	5570186	615	3445	727	3053	353	1623	381	661	384	325	337	726	102	455	611	73	553	371	550	353
ACTB	46	1	chr7	5570187	613	3433	722	3045	350	1618	380	657	378	322	335	722	101	453	608	72	550	366	543	349
ACTB	45	1	chr7	5570188	607	3423	711	3039	344	1609	374	653	376	315	330	707	95	445	600	68	543	359	536	343
ACTB	44	1	chr7	5570189	596	3395	695	3014	338	1591	373	649	367	311	328	694	93	432	588	67	535	355	528	334
ACTB	43	1	chr7	5570190	585	3395	670	3014	321	1572	369	640	359	303	319	676	90	419	572	67	520	346	518	321
ACTB	42	1	chr7	5570191	578	3373	657	3004	307	1565	363	628	354	296	312	645	87	406	551	64	499	335	505	314
ACTB	41	1	chr7	5570192	574	3340	656	2983	304	1564	362	622	352	295	312	643	84	404	540	64	496	331	502	312
ACTB	40	1	chr7	5570193	562	3336	655	2976	295	1562	357	616	349	291	308	636	83	398	535	62	486	325	495	308
ACTB	39	1	chr7	5570194	561	3328	653	2967	293	1559	356	615	348	290	307	635	80	398	531	60	484	323	494	306
ACTB	38	1	chr7	5570195	553	3279	645	2921	287	1541	348	608	345	283	302	624	74	393	521	60	475	317	480	298
ACTB	37	1	chr7	5570196	542	3269	632	2914	286	1533	343	597	326	271	292	602	72	374	501	57	453	304	458	283
ACTB	36	1	chr7	5570197	538	3091	625	2734	275	1522	333	592	316	263	286	587	70	362	486	55	442	293	441	280
ACTB	35	1	chr7	5570198	517	3063	609	2695	270	1518	333	583	306	248	283	570	68	337	474	54	416	275	427	272
ACTB	34	1	chr7	5570199	514	3050	604	2680	268	1513	325	579	303	242	280	565	67	330	469	53	412	274	420	270
ACTB	33	1	chr7	5570200	513	3046	604	2678	268	1513	325	579	303	241	280	563	66	326	468	53	410	274	419	269
ACTB	32	1	chr7	5570201	512	3038	598	2672	264	1511	323	577	299	238	280	559	66	318	463	53	403	268	410	269
